date_raw,date,Ash Plantain  1kg,Ash Pumpkin  1kg,Bandakka  1kg,Brinjal  1kg,Bitter Guard  1kg,Cucumber  1kg,Red Pumpkin  1kg,Snake Gourd  1kg,Gotukola  Bunch,Kankun  Bunch,Kathurumurunga  Bunch,Kohila Leaves  Bunch,Kohila Yams  1kg,Vetakolu  1kg,Green Chillies  1kg,Cap Chillies  1kg,Leeks  1kg,Limes  1kg,Local Potatoes 1Kg,Imported Potatoes  1Kg,Mukunuwenna  Bunch,Nivithi  500g,Sarana  Bunch,Thampala  Bunch,Beans Butter  1kg,Beans Green  1kg,Long Beans  1kg,Beet Root  1kg,Cabbagge Seed  1kg,Carrot  1kg,Drumstick  1kg,KnolKhol  1kg,Raddish  1kg,Tomatoe No1.  1kg,year,month,week_of_year
W1.Jan.2017,2017-01-01,135.15,111.11,112.86,99.39,228.57,115.69,108.48,128.33,30.0,33.93,35.42,35.71,137.81,170.67,276.39,252.5,129.14,605.88,167.05,119.31,35.0,47.33,36.67,36.92,200.0,136.13,150.18,129.7,94.38,139.71,,147.62,100.0,124.52,2017.0,1.0,52
W2.Jan.2017,2017-01-08,134.29,108.57,121.08,98.86,249.31,117.42,109.41,124.12,29.33,34.23,35.77,37.0,141.05,179.09,279.36,233.94,125.65,520.85,173.7,119.2,35.33,49.38,37.08,37.14,186.67,132.22,138.75,128.0,92.94,132.41,,140.78,103.53,140.54,2017.0,1.0,1
W3.Jan.2017,2017-01-15,130.29,108.89,128.65,96.32,249.44,135.0,110.86,130.34,29.17,34.62,36.15,36.25,136.0,170.91,351.61,254.71,118.86,485.49,187.5,118.51,36.43,48.33,37.27,37.27,180.0,125.29,128.28,125.37,89.14,130.26,,146.0,94.86,160.78,2017.0,1.0,2
W4.Jan.2017,2017-01-22,133.14,108.89,132.0,103.16,234.24,143.64,111.52,128.48,29.33,34.14,37.5,37.78,135.98,169.66,363.47,272.12,121.14,390.28,179.75,112.9,35.56,50.0,35.38,35.63,171.43,115.43,106.56,127.18,90.0,128.0,615.71,140.4,97.14,132.97,2017.0,1.0,3
W1.Feb.2017,2017-02-01,129.41,108.89,127.65,101.54,234.69,142.42,111.25,126.06,28.67,34.03,36.67,37.5,133.48,168.0,357.59,266.67,117.06,398.65,184.4,108.09,35.63,49.23,35.0,35.0,160.0,111.76,110.0,124.32,86.15,125.56,602.0,140.4,95.29,132.57,2017.0,2.0,5
W2.Feb.2017,2017-02-08,134.05,111.25,136.84,96.36,225.16,148.0,115.56,134.5,28.33,33.72,37.27,36.25,138.48,175.38,352.94,256.47,119.33,330.0,177.64,110.31,34.69,48.46,35.38,35.33,285.0,172.8,136.36,126.11,93.71,131.2,570.0,147.0,99.33,125.0,2017.0,2.0,6
W3.Feb.2017,2017-02-15,133.51,118.67,142.32,96.57,225.81,147.69,116.43,134.28,29.69,34.09,37.5,37.0,137.92,176.92,351.39,255.14,120.0,326.67,164.08,105.5,35.0,49.29,36.15,35.63,310.0,179.23,138.26,125.56,95.43,132.8,575.38,148.74,98.71,126.67,2017.0,2.0,7
W4.Feb.2017,2017-02-22,133.14,114.29,143.53,98.38,221.29,152.88,116.36,143.14,30.31,34.97,37.69,37.5,141.33,185.71,360.83,258.29,113.68,314.29,162.41,111.03,35.28,49.33,37.14,36.47,270.0,175.68,140.59,130.29,91.89,129.3,458.64,144.35,98.13,92.12,2017.0,2.0,8
W1.Mar.2017,2017-03-01,134.59,121.67,148.82,105.26,190.86,138.42,117.33,143.75,30.77,34.33,37.33,37.69,137.42,195.0,351.19,244.85,99.49,239.71,161.43,111.07,34.64,48.33,37.0,36.25,210.0,142.05,134.29,128.89,94.19,130.94,358.82,145.92,102.49,96.41,2017.0,3.0,9
W2.Mar.2017,2017-03-08,134.87,121.33,148.0,98.67,191.89,116.0,116.36,144.67,30.0,34.06,36.88,37.14,138.0,200.0,340.63,248.82,101.08,235.48,162.42,109.83,34.33,46.92,36.56,36.88,230.0,155.48,140.0,128.13,93.33,130.56,356.0,136.52,96.67,103.7,2017.0,3.0,10
W3.Mar.2017,2017-03-15,136.57,125.45,154.67,98.67,195.76,111.61,119.46,150.38,29.23,33.33,38.18,37.78,139.2,197.5,293.33,254.44,102.05,220.69,161.65,109.81,33.33,47.27,37.31,36.79,240.0,169.66,132.9,126.0,96.36,129.41,365.71,143.48,102.52,123.45,2017.0,3.0,11
W4.Mar.2017,2017-03-22,136.92,127.27,142.86,93.13,198.57,104.0,130.3,147.86,29.33,32.86,39.23,38.89,137.93,206.67,277.81,269.74,95.63,222.06,156.06,106.0,33.67,45.36,36.67,37.08,250.0,184.34,140.63,130.81,101.5,136.26,345.56,139.22,106.77,138.83,2017.0,3.0,12
W1.Apr.2017,2017-04-01,137.78,135.38,148.59,101.25,211.85,102.35,139.44,152.9,29.06,33.33,40.0,40.0,143.23,203.2,288.38,268.13,102.94,190.0,153.08,108.86,34.06,45.67,36.92,37.31,260.0,189.0,146.25,142.16,107.41,137.22,328.82,145.71,108.95,172.62,2017.0,4.0,13
W2.Apr.2017,2017-04-08,137.37,141.82,156.82,107.44,213.85,100.54,134.59,162.31,29.33,32.86,39.23,38.89,144.14,217.78,281.88,279.29,109.44,189.66,160.41,115.86,33.67,45.36,36.67,37.08,253.33,180.0,137.65,152.67,116.3,138.46,308.89,150.11,110.4,195.95,2017.0,4.0,14
W3.Apr.2017,2017-04-15,136.67,143.33,159.2,113.94,217.6,98.79,132.94,164.97,30.0,33.57,39.17,40.0,142.14,212.0,277.0,274.07,109.7,192.59,163.14,116.33,34.33,46.54,37.5,37.08,266.67,186.25,135.76,156.3,124.06,146.11,318.0,146.78,115.0,197.31,2017.0,4.0,15
W4.Apr.2017,2017-04-22,133.51,140.0,152.22,112.73,234.4,101.18,128.39,158.13,30.38,32.81,40.0,40.0,153.91,186.21,252.59,267.2,109.94,189.63,168.71,117.2,35.67,47.5,38.46,38.33,280.0,194.17,150.59,200.15,149.29,215.63,322.5,136.25,131.1,172.88,2017.0,4.0,16
W1.May.2017,2017-05-01,136.84,135.0,159.46,118.03,233.45,104.67,126.06,164.14,31.33,33.0,40.77,40.0,151.11,195.86,270.0,281.43,111.61,186.97,163.36,115.77,36.33,47.0,39.23,39.23,293.33,190.88,151.33,206.06,164.12,225.26,320.74,146.67,132.0,168.77,2017.0,5.0,18
W2.May.2017,2017-05-08,142.22,140.0,161.14,143.29,252.89,121.26,127.32,178.06,32.0,33.67,41.54,41.43,155.33,189.87,310.43,293.75,113.58,187.59,163.13,116.92,36.0,47.27,40.0,38.46,320.0,207.08,165.41,210.93,211.17,281.84,326.9,167.04,131.82,167.57,2017.0,5.0,19
W3.May.2017,2017-05-15,136.11,140.0,162.16,148.63,254.19,131.52,128.75,191.31,31.33,33.0,40.71,41.25,154.41,195.48,313.07,289.03,118.29,185.36,164.97,116.67,35.33,47.5,39.23,37.69,320.0,219.94,173.13,211.37,210.0,300.0,310.34,177.0,141.0,141.62,2017.0,5.0,20
W4.May.2017,2017-05-22,137.89,133.33,175.56,203.03,267.87,132.82,130.56,206.92,32.0,34.0,40.38,42.0,153.93,204.0,733.33,332.78,143.0,186.33,168.76,126.15,35.0,45.56,40.0,38.57,320.0,237.73,210.0,214.74,234.29,308.48,258.75,213.48,171.85,154.21,2017.0,5.0,21
W1.Jun.2017,2017-06-01,133.51,136.67,169.33,202.7,250.79,126.67,144.26,212.59,32.33,34.67,41.54,42.73,162.19,202.76,668.06,316.1,146.11,187.27,179.95,125.76,36.25,45.0,41.43,37.86,346.67,231.46,200.48,201.74,217.88,291.35,231.33,204.55,175.7,167.76,2017.0,6.0,22
W2.Jun.2017,2017-06-08,135.68,140.0,171.03,205.95,253.74,128.89,145.06,214.07,31.07,34.67,41.54,41.11,163.33,207.14,673.61,319.18,146.49,188.55,183.91,125.6,36.0,46.0,40.0,35.83,346.67,235.78,206.21,202.86,219.69,294.59,238.67,207.83,180.15,169.46,2017.0,6.0,23
W3.Jun.2017,2017-06-15,135.29,132.0,169.33,201.94,258.06,128.0,153.94,211.73,31.79,34.67,41.54,42.0,163.13,201.03,649.51,316.88,145.09,186.33,181.22,123.79,36.0,46.36,40.0,36.43,320.0,235.43,201.43,199.89,224.28,305.13,252.8,204.17,175.47,170.77,2017.0,6.0,24
W4.Jun.2017,2017-06-22,138.82,126.67,169.66,167.74,259.88,126.06,186.13,198.82,31.82,35.0,42.73,41.54,165.31,213.03,522.36,326.12,145.37,180.61,175.45,121.48,36.79,48.18,40.0,37.27,320.0,209.14,200.0,192.11,192.22,293.53,254.84,191.86,166.67,157.41,2017.0,6.0,25
W1.Jul.2017,2017-07-01,139.76,133.33,150.26,164.24,243.19,124.67,186.25,202.87,31.43,36.15,41.54,43.33,155.85,208.5,499.51,325.15,140.53,186.5,178.22,116.32,36.79,49.33,41.54,38.18,310.0,201.32,197.65,176.32,172.62,230.29,262.86,181.76,149.68,196.22,2017.0,7.0,26
W2.Jul.2017,2017-07-08,139.28,137.14,144.89,163.69,250.29,98.51,189.21,199.66,31.25,34.69,39.29,43.33,164.69,192.03,528.42,315.61,137.84,182.11,177.95,115.0,35.94,46.36,42.0,36.07,320.0,173.71,187.53,169.23,180.5,229.06,260.57,178.82,138.82,188.24,2017.0,7.0,27
W3.Jul.2017,2017-07-15,134.59,145.0,145.79,168.89,236.11,98.22,188.22,199.25,30.0,36.15,39.09,42.0,165.06,185.94,503.78,272.0,134.87,181.95,179.84,114.38,36.15,48.18,44.0,37.5,,178.08,175.71,141.67,174.74,228.89,257.65,177.78,131.35,180.51,2017.0,7.0,28
W4.Jul.2017,2017-07-22,141.05,135.0,138.0,172.0,215.03,98.59,179.41,194.71,29.29,35.0,37.14,41.67,159.12,180.57,484.62,266.67,133.0,186.28,180.33,116.85,35.0,47.5,43.33,36.5,320.0,170.46,164.22,138.24,174.32,230.77,253.91,173.23,126.63,185.0,2017.0,7.0,29
W1.Aug.2017,2017-08-01,143.78,140.0,139.47,174.86,204.74,102.94,168.65,185.88,28.67,34.12,36.43,42.0,164.0,178.89,475.0,253.57,134.05,186.67,178.81,115.26,34.12,48.18,43.33,35.0,320.0,160.0,170.59,138.89,170.26,204.21,247.88,158.67,129.03,197.22,2017.0,8.0,31
W2.Aug.2017,2017-08-08,146.11,140.0,140.54,175.29,195.79,104.0,166.84,188.39,28.08,34.0,36.92,42.0,163.75,177.14,492.11,236.47,134.44,190.42,182.45,116.67,34.33,49.17,41.67,36.0,,168.65,172.41,139.49,167.78,196.92,241.94,151.88,127.27,191.11,2017.0,8.0,32
W3.Aug.2017,2017-08-15,140.43,142.86,130.26,176.71,186.67,98.0,131.28,186.67,28.93,33.75,36.43,41.67,162.76,174.12,497.44,196.67,133.83,214.75,173.81,119.64,34.06,50.0,41.54,35.83,320.0,177.0,173.33,136.22,133.51,172.31,137.14,148.31,122.86,183.68,2017.0,8.0,33
W4.Aug.2017,2017-08-22,140.42,140.0,130.0,176.86,193.33,99.89,130.56,179.35,28.67,34.47,36.76,42.22,161.79,171.85,465.63,184.0,131.49,225.17,177.12,114.0,35.0,47.22,42.31,35.0,320.0,173.71,168.24,135.76,132.0,159.68,133.68,135.71,126.15,184.43,2017.0,8.0,34
W1.Sep.2017,2017-09-01,141.82,137.14,130.59,188.28,189.38,101.76,126.29,142.86,29.0,35.0,38.0,43.33,143.85,152.5,460.61,196.25,141.21,381.67,173.45,118.8,35.0,46.36,40.83,35.45,320.0,167.35,146.43,133.33,130.81,144.12,122.0,141.43,112.42,198.23,2017.0,9.0,35
W2.Sep.2017,2017-09-08,140.91,145.0,133.33,187.22,197.27,108.65,123.78,151.33,28.57,34.33,38.46,44.29,149.69,163.87,446.15,193.68,150.8,388.28,175.0,123.33,35.0,45.0,41.25,35.71,320.0,182.22,156.58,141.14,134.36,143.5,116.67,142.76,120.14,220.42,2017.0,9.0,36
W3.Sep.2017,2017-09-15,144.89,145.0,136.22,186.11,204.21,110.56,123.68,153.55,28.67,34.64,38.0,43.75,148.67,177.06,450.0,198.89,153.3,386.26,163.81,119.23,34.33,45.83,41.0,37.0,320.0,185.45,164.17,142.16,136.0,146.5,122.78,145.0,119.05,219.38,2017.0,9.0,37
W4.Sep.2017,2017-09-22,141.76,145.45,144.45,192.48,230.72,111.32,123.0,168.38,29.38,35.0,38.0,42.0,149.88,184.71,441.67,217.78,171.5,380.77,164.91,118.93,34.67,46.15,41.82,38.0,340.0,218.97,177.22,140.5,161.33,173.46,143.78,158.26,129.71,208.16,2017.0,9.0,38
W1.Oct.2017,2017-10-01,149.19,144.0,144.0,214.55,249.08,110.26,123.87,174.48,30.0,35.83,38.33,42.0,149.33,179.44,533.24,230.59,180.57,436.57,160.15,119.14,35.88,49.29,40.91,36.92,340.0,202.05,176.22,147.18,166.67,169.5,202.86,162.86,132.22,195.89,2017.0,10.0,39
W2.Oct.2017,2017-10-08,142.65,141.82,137.0,206.5,278.18,112.0,110.86,167.76,30.0,36.47,38.82,43.0,148.0,182.0,535.95,277.94,198.86,453.33,162.67,120.21,37.19,48.57,42.0,37.5,340.0,182.63,178.57,147.33,172.63,178.44,244.38,173.57,135.29,202.6,2017.0,10.0,40
W3.Oct.2017,2017-10-15,146.31,142.22,138.65,211.22,283.68,112.7,110.86,165.41,30.59,37.14,39.05,44.17,148.46,177.0,535.95,279.03,194.48,461.29,164.38,122.62,37.63,46.92,42.22,38.33,336.0,191.27,184.52,143.21,180.0,186.34,255.63,173.16,138.24,208.45,2017.0,10.0,41
W4.Oct.2017,2017-10-22,146.47,141.54,146.38,200.22,281.83,112.5,115.78,169.63,31.33,37.19,40.77,43.33,153.87,178.37,621.72,287.43,205.26,432.17,159.5,120.96,38.44,47.69,41.43,38.57,320.0,204.8,176.4,155.43,189.23,202.05,288.57,176.14,140.71,214.29,2017.0,10.0,42
W1.Nov.2017,2017-11-01,155.9,148.0,148.78,214.23,267.37,107.18,127.0,181.17,30.63,37.35,40.71,43.33,154.62,183.52,766.67,367.94,238.89,415.59,165.63,117.92,38.53,47.86,41.43,38.57,320.0,183.45,186.54,151.16,174.7,216.1,295.38,178.95,152.19,195.37,2017.0,11.0,44
W2.Nov.2017,2017-11-08,161.42,152.0,153.29,218.18,275.5,107.18,124.65,184.08,31.25,37.35,41.43,45.56,154.81,192.86,752.0,358.56,236.76,413.87,152.05,109.08,38.53,49.29,41.43,38.57,320.0,190.21,190.36,158.56,180.2,221.46,291.67,183.16,152.42,205.09,2017.0,11.0,45
W3.Nov.2017,2017-11-15,159.24,150.0,158.83,208.86,263.87,122.57,135.22,207.63,31.67,38.33,43.33,46.0,173.46,197.6,958.59,412.36,267.5,302.13,150.07,88.33,38.33,47.5,43.64,40.0,320.0,206.67,206.9,190.91,220.2,242.67,360.0,218.95,153.13,149.03,2017.0,11.0,46
W4.Nov.2017,2017-11-22,164.32,150.0,162.78,206.15,258.24,121.32,135.43,209.41,32.5,39.0,42.5,44.29,170.71,215.11,960.49,433.69,296.9,318.75,144.94,84.17,39.0,48.33,43.64,40.56,333.33,216.76,217.01,219.43,222.16,252.22,344.67,235.16,170.37,141.08,2017.0,11.0,47
W1.Dec.2017,2017-12-01,165.29,137.14,171.8,210.0,258.67,126.0,137.44,202.59,33.33,38.33,42.5,45.0,174.48,222.61,887.5,415.5,290.42,273.89,153.04,91.25,39.0,50.0,43.33,40.71,400.0,288.0,224.38,228.42,211.49,239.23,364.0,250.43,164.57,139.49,2017.0,12.0,48
W2.Dec.2017,2017-12-08,167.13,138.18,175.89,219.44,281.29,133.19,134.21,206.92,34.29,40.0,43.08,45.56,174.57,249.41,685.83,422.45,294.5,238.89,154.5,99.82,40.77,50.91,45.0,40.0,400.0,312.31,239.62,240.74,198.11,232.45,420.0,242.22,162.69,136.22,2017.0,12.0,49
W3.Dec.2017,2017-12-15,165.5,140.0,174.74,221.33,283.57,133.19,131.05,219.25,34.67,39.23,43.57,46.0,165.15,235.63,698.42,395.39,288.11,218.29,161.92,100.17,40.71,51.67,45.71,40.0,400.0,273.14,234.12,244.97,197.22,198.67,360.0,216.0,168.06,178.59,2017.0,12.0,50
W4.Dec.2017,2017-12-22,168.33,148.57,177.22,292.26,293.1,136.05,132.22,216.36,34.29,40.0,43.08,45.56,170.3,242.45,653.56,417.16,292.77,221.43,158.52,95.33,41.54,50.91,45.0,41.67,400.0,308.33,250.27,249.19,187.57,198.41,,218.67,170.32,181.54,2017.0,12.0,51
W1.Jan.2018,2018-01-01,167.03,146.67,176.11,276.0,278.75,133.57,127.89,196.88,35.0,39.23,44.17,47.27,167.0,227.69,537.51,392.17,267.95,207.35,162.73,100.56,40.67,52.31,46.0,41.43,400.0,268.75,197.24,253.09,175.14,206.57,,220.0,146.64,145.6,2018.0,1.0,1
W2.Jan.2018,2018-01-08,166.51,145.45,177.89,191.11,255.77,128.0,118.42,202.29,36.25,40.0,45.71,47.69,157.93,227.86,325.63,336.32,250.77,160.0,158.65,92.78,40.0,52.67,46.92,42.86,400.0,279.49,182.86,229.41,167.06,184.5,,209.05,142.16,130.72,2018.0,1.0,2
W3.Jan.2018,2018-01-15,161.82,140.0,165.29,161.89,208.75,130.8,121.89,178.85,35.63,39.33,45.38,47.14,158.89,211.2,327.33,326.29,261.84,157.71,151.15,82.31,38.75,51.33,46.67,41.67,346.67,193.71,152.5,198.32,142.78,160.24,,207.83,139.39,110.61,2018.0,1.0,3
W4.Jan.2018,2018-01-22,158.53,124.0,160.57,146.7,207.78,126.26,117.03,169.77,35.0,38.57,44.17,46.92,150.65,199.31,320.65,318.38,259.14,153.16,150.0,79.63,38.13,48.57,44.55,40.0,300.0,188.65,142.96,184.8,134.59,159.16,,201.74,129.09,104.81,2018.0,1.0,4
W1.Feb.2018,2018-02-01,154.65,126.67,167.37,156.95,205.47,117.5,90.86,149.74,37.14,39.0,40.67,42.5,148.28,191.12,410.72,297.11,168.11,305.0,178.24,90.32,39.0,50.0,47.69,45.83,300.0,194.95,153.53,192.0,140.5,173.95,600.0,188.39,133.0,132.32,2018.0,2.0,5
W2.Feb.2018,2018-02-08,157.95,130.0,144.86,134.21,192.22,106.67,91.58,137.22,37.33,37.81,41.25,45.0,136.67,166.29,359.7,214.11,144.21,276.56,169.17,100.56,37.81,49.29,47.14,45.38,296.67,142.7,146.67,118.27,126.67,151.28,490.74,157.39,127.27,106.35,2018.0,2.0,6
W3.Feb.2018,2018-02-15,158.97,133.33,144.83,121.48,192.0,107.74,95.71,140.0,36.15,36.79,41.43,45.0,137.78,167.22,361.03,216.67,142.67,268.97,164.71,98.61,36.79,49.23,46.67,45.0,293.33,146.48,134.4,116.55,126.4,151.81,370.0,158.42,128.7,103.73,2018.0,2.0,7
W4.Feb.2018,2018-02-22,154.5,130.0,147.43,123.64,193.33,107.57,93.75,138.75,35.33,35.94,41.25,45.0,136.84,165.25,365.76,223.89,143.33,272.73,166.09,98.9,35.94,49.33,45.71,44.29,296.0,145.37,135.17,117.14,125.52,153.11,363.33,154.76,127.41,105.65,2018.0,2.0,8
W1.Mar.2018,2018-03-01,145.26,132.5,143.13,138.38,187.03,120.56,115.79,138.29,33.21,38.21,42.31,42.86,145.52,175.48,225.0,203.89,186.32,171.67,136.19,85.89,38.93,51.67,45.0,45.0,280.0,162.37,152.94,113.16,106.84,144.11,463.08,145.36,108.28,89.89,2018.0,3.0,9
W2.Mar.2018,2018-03-08,143.49,132.31,137.71,136.84,193.13,124.1,114.59,143.24,33.93,37.5,41.67,42.86,143.53,175.55,225.0,200.5,181.71,166.11,134.58,83.33,38.21,50.91,44.0,44.55,310.0,178.05,151.67,114.36,105.83,149.14,460.0,145.86,111.52,99.41,2018.0,3.0,10
W3.Mar.2018,2018-03-15,137.14,132.73,131.76,135.14,187.78,114.13,114.21,148.0,33.57,38.21,42.31,42.5,140.0,169.33,219.12,186.67,182.46,163.03,134.0,84.19,38.93,51.67,45.0,45.0,300.0,169.46,148.68,98.24,106.83,135.67,482.86,141.26,102.13,96.49,2018.0,3.0,11
W4.Mar.2018,2018-03-22,141.08,135.56,136.77,134.12,183.33,114.05,108.65,143.45,33.85,39.29,43.57,43.75,143.33,177.7,220.59,193.79,193.64,173.38,130.2,87.96,38.33,53.75,45.0,45.45,300.0,148.48,141.82,104.38,105.33,148.57,399.05,144.31,106.4,93.14,2018.0,3.0,12
