date_raw,date,year,month,week_of_year,vegetable,price_lkr,category,sub_category
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Ash Plantain  1kg,135.15,Low Country Vegetables,Low Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Ash Pumpkin  1kg,111.11,Low Country Vegetables,Low Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Bandakka  1kg,112.86,Low Country Vegetables,Low Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Beans Butter  1kg,200.0,Up Country Vegetables,Up Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Beans Green  1kg,136.13,Up Country Vegetables,Up Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Beet Root  1kg,129.7,Up Country Vegetables,Up Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Bitter Guard  1kg,228.57,Low Country Vegetables,Low Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Brinjal  1kg,99.39,Low Country Vegetables,Low Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Cabbagge Seed  1kg,94.38,Up Country Vegetables,Up Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Cap Chillies  1kg,252.5,Low Country Vegetables,Low Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Carrot  1kg,139.71,Up Country Vegetables,Up Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Cucumber  1kg,115.69,Low Country Vegetables,Low Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Drumstick  1kg,,Low Country Vegetables,Low Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Gotukola  Bunch,30.0,Leaves,Leaves
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Green Chillies  1kg,276.39,Low Country Vegetables,Low Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Imported Potatoes  1Kg,119.31,Potatoes,Potatoes
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Kankun  Bunch,33.93,Leaves,Leaves
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Kathurumurunga  Bunch,35.42,Leaves,Leaves
W1.Jan.2017,2017-01-01,2017.0,1.0,52,KnolKhol  1kg,147.62,Up Country Vegetables,Up Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Kohila Leaves  Bunch,35.71,Leaves,Leaves
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Kohila Yams  1kg,137.81,Low Country Vegetables,Low Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Leeks  1kg,129.14,Up Country Vegetables,Up Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Limes  1kg,605.88,Low Country Vegetables,Low Country
W1.Jan.2017,2017-01-01,2017.0,1.0,52,Local Potatoes 1Kg,167.05,Potatoes,Potatoes
